P,T,v,u,h,s
400,800,0.01152,3511.9,3972.8,6.661
500,0.01,0.000977,0.3323,49.17,-0.00087
500,20,0.00098,80.93,130,0.2845
500,40,0.000987,161.9,211.3,0.5528
500,60,0.000996,243.1,292.9,0.8054
500,80,0.001007,324.4,374.7,1.044
500,100,0.00102,405.9,456.9,1.27
500,120,0.001035,487.7,539.4,1.486
500,140,0.001052,569.8,622.4,1.692
500,160,0.00107,652.4,706,1.889
500,180,0.001091,735.6,790.2,2.079
500,200,0.001115,819.6,875.3,2.263
500,220,0.001141,904.4,961.5,2.441
500,240,0.001171,990.5,1049,2.615
500,260,0.001204,1078.1,1138.3,2.786
500,280,0.001243,1167.5,1229.7,2.954
500,300,0.001288,1259.3,1323.7,3.121
500,320,0.001341,1354.2,1421.2,3.289
500,340,0.001405,1452.8,1523.1,3.457
500,360,0.001507,1568.4,1637.2,3.651
500,380,0.001656,1698.3,1768.3,3.863
500,400,0.001838,1829.3,1908.6,4.072
500,420,0.002065,1962.6,2056.8,4.282
500,440,0.002355,2099.8,2213.5,4.496
500,460,0.002741,2242.4,2379.6,4.72
500,480,0.003277,2391.7,2556.8,4.957
500,500,0.003889,2528,2722.5,5.176
500,520,0.004417,2636.5,2857.4,5.348
500,540,0.004896,2728.4,2973.2,5.492
500,560,0.005332,2808.8,3075.4,5.617
500,580,0.005734,2881,3167.7,5.726
500,600,0.006109,2947.2,3252.6,5.825
500,640,0.006796,3067.4,3407.2,5.998
500,680,0.007422,3176.9,3548,6.149
500,720,0.008004,3279.5,3679.6,6.284
500,760,0.008552,3377.4,3805,6.408
500,800,0.009074,3472.3,3926,6.523
600,0.01,0.000972,0.2777,58.63,-0.00193
600,20,0.000977,80.35,138.9,0.2818
600,40,0.000983,160.9,219.9,0.5489
600,60,0.000992,241.6,301.1,0.8004
600,80,0.001003,322.5,382.7,1.038
600,100,0.001016,403.5,464.5,1.263
600,120,0.00103,484.8,546.7,1.478
600,140,0.001047,566.5,629.3,1.683
600,160,0.001065,648.5,712.4,1.879
600,180,0.001085,731,796.2,2.068
600,200,0.001108,814.2,880.7,2.251
600,220,0.001133,898.2,966.2,2.428
600,240,0.001161,983.2,1052.8,2.6
600,260,0.001193,1069.4,1141,2.769
600,280,0.001229,1157.3,1231,2.934
600,300,0.00127,1247,1323.3,3.098
600,320,0.001318,1339.2,1418.3,3.261
600,340,0.001374,1434.2,1516.7,3.424
600,360,0.001457,1541.1,1623.1,3.604
600,380,0.001569,1657.8,1740.6,3.794
600,400,0.001701,1775.1,1864.6,3.982
600,420,0.001856,1893.4,1994.1,4.167
600,440,0.002042,2013.3,2128.8,4.352
600,460,0.00227,2135.4,2268.6,4.539
600,480,0.002555,2260.1,2413.7,4.73
600,500,0.002922,2388,2564.6,4.926
600,520,0.003361,2512.3,2713.9,5.119
600,540,0.003762,2617.2,2842.9,5.28
600,560,0.004142,2709.6,2958.1,5.42
600,580,0.004499,2792.1,3062,5.543
600,600,0.004834,2866.9,3157,5.653
600,640,0.005447,3000.4,3327.3,5.844
600,680,0.006003,3119.6,3479.8,6.007
600,720,0.006518,3229.5,3620.6,6.152
600,760,0.007,3333.2,3753.2,6.283
600,800,0.007457,3432.7,3880.2,6.403
700,0.01,0.000968,0.1902,67.97,-0.00323
700,20,0.000973,79.76,147.9,0.279
700,40,0.00098,159.9,228.4,0.5449
700,60,0.000989,240.2,309.4,0.7955
700,80,0.000999,320.7,390.6,1.032
700,100,0.001012,401.3,472.1,1.257
700,120,0.001026,482.1,554,1.47
700,140,0.001042,563.3,636.2,1.674
700,160,0.00106,644.8,718.9,1.87
700,180,0.001079,726.7,802.2,2.058
700,200,0.001101,809.1,886.2,2.239
700,220,0.001125,892.3,971,2.415
700,240,0.001152,976.3,1056.9,2.586
700,260,0.001182,1061.4,1144.1,2.752
700,280,0.001216,1147.8,1232.9,2.916
700,300,0.001254,1235.9,1323.7,3.077
700,320,0.001298,1325.9,1416.7,3.237
700,340,0.001349,1418.1,1512.5,3.395
700,360,0.001419,1519.1,1613.7,3.565
700,380,0.001509,1627.2,1722.8,3.742
700,400,0.001613,1735.6,1836.8,3.916
700,420,0.001731,1844.5,1955,4.086
700,440,0.001868,1954.2,2076.9,4.255
700,460,0.002028,2065,2202.2,4.422
700,480,0.002219,2177,2330.9,4.591
700,500,0.002449,2290.5,2462.9,4.761
700,520,0.002732,2405.5,2598.3,4.933
700,540,0.003067,2518.7,2733.4,5.103
700,560,0.003378,2617.6,2854.1,5.25
700,580,0.003683,2707.3,2965.1,5.382
700,600,0.003975,2789.3,3067.5,5.5
700,640,0.00452,2934.8,3251.2,5.706
700,680,0.005018,3063.1,3414.4,5.881
700,720,0.005478,3180.2,3563.6,6.034
700,760,0.005909,3289.5,3703.1,6.172
700,800,0.006317,3393.6,3835.8,6.298
800,0.01,0.000964,0.0725,77.22,-0.00476
800,20,0.000969,79.19,156.7,0.2761
800,40,0.000976,158.9,237,0.5409
800,60,0.000985,238.8,317.6,0.7905
800,80,0.000996,318.9,398.5,1.026
800,100,0.001008,399.1,479.8,1.25
800,120,0.001022,479.5,561.3,1.463
800,140,0.001037,560.2,643.2,1.666
800,160,0.001054,641.2,725.5,1.861
800,180,0.001074,722.5,808.4,2.048
800,200,0.001095,804.3,891.8,2.228
800,220,0.001118,886.7,976.1,2.402
800,240,0.001143,969.8,1061.3,2.572
800,260,0.001172,1053.9,1147.7,2.737
800,280,0.001204,1139.1,1235.4,2.898
800,300,0.00124,1225.7,1324.9,3.057
800,320,0.00128,1313.8,1416.3,3.214
800,340,0.001327,1403.8,1509.9,3.369
800,360,0.001388,1500.4,1607.4,3.532
800,380,0.001464,1602.5,1710.7,3.7
800,400,0.001549,1704.7,1818,3.863
800,420,0.001645,1807.1,1928.5,4.023
800,440,0.001754,1909.9,2041.9,4.181
800,460,0.001877,2013.2,2158,4.337
800,480,0.00202,2117.2,2276.4,4.492
800,500,0.002186,2222,2397.1,4.647
800,520,0.002382,2327.5,2519.8,4.801
800,540,0.002616,2433.9,2644.8,4.957
800,560,0.002885,2538.2,2769,5.11
800,580,0.003135,2631.2,2882,5.244
800,600,0.003384,2717.4,2988.1,5.367
800,640,0.003861,2872.1,3181,5.583
800,680,0.004306,3008.5,3352.9,5.768
800,720,0.00472,3132.1,3509.7,5.929
800,760,0.005108,3246.7,3655.3,6.073
800,800,0.005476,3355.2,3793.3,6.204
1000,0.01,0.000957,-0.2439,95.43,-0.00844
1000,20,0.000962,78.04,174.2,0.27
1000,40,0.000969,157,253.9,0.5329
1000,60,0.000978,236.2,334,0.7808
1000,80,0.000988,315.5,414.4,1.015
1000,100,0.001,395,495,1.237
1000,120,0.001014,474.6,576,1.449
1000,140,0.001028,554.4,657.2,1.65
1000,160,0.001045,634.4,738.9,1.843
1000,180,0.001063,714.7,820.9,2.028
1000,200,0.001083,795.3,903.5,2.207
1000,220,0.001104,876.3,986.7,2.379
1000,240,0.001128,957.9,1070.7,2.546
1000,260,0.001154,1040.2,1155.6,2.708
1000,280,0.001183,1123.3,1241.6,2.866
1000,300,0.001215,1207.4,1328.9,3.022
1000,320,0.00125,1292.7,1417.7,3.174
1000,340,0.00129,1379.1,1508.1,3.324
1000,360,0.001339,1469.6,1600.6,3.477
1000,380,0.001398,1563.5,1696.5,3.632
1000,400,0.001462,1657.5,1795.2,3.782
1000,420,0.001532,1751.3,1896,3.929
1000,440,0.001609,1845.1,1998.7,4.073
1000,460,0.001694,1939.1,2103.3,4.214
1000,480,0.001789,2033.2,2209.4,4.354
1000,500,0.001895,2127.6,2316.8,4.491
1000,520,0.002015,2222.1,2425.3,4.627
1000,540,0.00215,2316.8,2534.8,4.762
1000,560,0.002305,2411.7,2645.3,4.896
1000,580,0.002484,2506.8,2756.8,5.031
1000,600,0.002672,2597.8,2865.1,5.158
1000,640,0.003026,2761.2,3063.8,5.381
1000,680,0.003376,2907.7,3245.3,5.575
1000,720,0.003712,3041.7,3413,5.748
1000,760,0.004031,3165.5,3568.6,5.901
1000,800,0.004336,3281.6,3715.2,6.04
